,300,300,300,300,300,300,,600,600,600,600,600,600,,900,900,900,900,900,900,,1200,1200,1200,1200,1200,1200,,1500,1500,1500,1500,1500,1500,,1800,1800,1800,1800,1800,1800,,2100,2100,2100,2100,2100,2100,,2400,2400,2400,2400,2400,2400,,2700,2700,2700,2700,2700,2700,,3000,3000,3000,3000,3000,3000,,3300,3300,3300,3300,3300,3300,
,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,,VNS,VNS,ABFD,ABFD,FFCD,FFCD,
,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,,Time(s),Bin Count,Time(s),Bin Count,Time(s),Bin Count,
0,3.6999238,147,0.0054285,171,4.603E-4,148,,11.4089955,292,0.0016929,339,8.578E-4,292,,30.0555094,451,0.0036974,521,0.0018456,453,,47.8742083,587,0.0074768,688,0.0033752,591,,71.2767669,727,0.0126903,843,0.0049175,728,,124.0779238,870,0.0190532,1016,0.0074118,876,,138.127081,1043,0.0260998,1213,0.0096399,1044,,192.0138723,1182,0.0364537,1364,0.0129025,1187,,269.3205409,1328,0.0485124,1547,0.0172232,1331,,292.2569384,1461,0.0546256,1710,0.0207036,1462,,427.5542801,1611,0.0668597,1896,0.0258899,1617,
1,2.8781575,146,0.0023448,171,3.632E-4,148,,11.4375581,292,0.0015974,339,9.074E-4,292,,26.2185517,452,0.0038634,521,0.0020724,453,,48.4929268,587,0.0076601,688,0.0032612,591,,76.6199208,727,0.0115885,843,0.0053602,728,,110.0344369,872,0.0204392,1016,0.0076723,876,,138.7427024,1043,0.0267689,1213,0.0095747,1044,,214.7211925,1179,0.0359283,1364,0.0138444,1187,,270.4581232,1325,0.0469428,1547,0.0162754,1331,,292.3911495,1461,0.0541511,1710,0.0202159,1462,,396.5089674,1611,0.067286,1896,0.0260642,1617,
2,2.9110396,147,0.0014607,171,2.958E-4,148,,10.8951852,292,0.0017201,339,0.0012439,292,,25.6636908,452,0.0038324,521,0.002153,453,,49.8643559,586,0.0073973,688,0.0031764,591,,69.6100299,727,0.0135547,843,0.0050156,728,,109.1440025,871,0.018593,1016,0.0071179,876,,145.0975424,1043,0.0270393,1213,0.0095078,1044,,255.5140112,1180,0.0404178,1364,0.0163201,1187,,262.39692,1326,0.0479016,1547,0.0164627,1331,,323.4999744,1461,0.055992,1710,0.0204144,1462,,378.9382366,1612,0.0681429,1896,0.0255676,1617,
3,3.0580808,147,6.814E-4,171,2.973E-4,148,,10.9220141,292,0.0017942,339,0.0010009,292,,24.7928067,452,0.004169,521,0.0018703,453,,48.691317,585,0.008536,688,0.00411,591,,71.2706624,727,0.0132798,843,0.0049059,728,,106.6730125,873,0.0188243,1016,0.00714,876,,139.7612394,1043,0.0267638,1213,0.0094354,1044,,226.8497553,1180,0.036666,1364,0.0131123,1187,,255.7990947,1326,0.0476935,1547,0.0173722,1331,,289.4258063,1461,0.05403,1710,0.0209557,1462,,375.0939794,1610,0.0811702,1896,0.0296454,1617,
4,2.8655078,146,5.774E-4,171,4.218E-4,148,,11.2517044,292,0.0017564,339,8.311E-4,292,,26.1283363,451,0.0038391,521,0.0018495,453,,46.347368,587,0.0085679,688,0.003179,591,,69.3991685,727,0.0121058,843,0.005026,728,,114.3043788,871,0.0195153,1016,0.0070564,876,,143.7210704,1043,0.0247721,1213,0.0110843,1044,,220.8666961,1180,0.0377404,1364,0.0137281,1187,,268.7829271,1326,0.0456134,1547,0.017085,1331,,291.9528931,1461,0.0543212,1710,0.0208415,1462,,423.1295928,1611,0.0679003,1896,0.0253951,1617,
5,3.1700776,147,5.339E-4,171,3.005E-4,148,,11.5803183,292,0.0016666,339,8.905E-4,292,,29.1051938,452,0.004363,521,0.0018681,453,,51.6625397,586,0.0074415,688,0.0032915,591,,69.8314772,727,0.0128182,843,0.0049693,728,,118.4424152,870,0.0190342,1016,0.0067452,876,,136.8753043,1043,0.0279885,1213,0.0091311,1044,,199.4814768,1179,0.0344899,1364,0.0130189,1187,,273.6668732,1326,0.0463502,1547,0.0179931,1331,,289.2367729,1461,0.0564568,1710,0.0203141,1462,,406.7643165,1610,0.0689698,1896,0.0256761,1617,
6,2.7445191,147,5.295E-4,171,3.316E-4,148,,12.1567518,292,0.0016155,339,9.312E-4,292,,25.1119265,452,0.0037846,521,0.0018859,453,,47.1803958,587,0.0079134,688,0.0030472,591,,69.2252928,727,0.012452,843,0.004945,728,,112.5405184,872,0.0193606,1016,0.007318,876,,143.0220004,1043,0.0305979,1213,0.0109636,1044,,214.6908066,1178,0.0369743,1364,0.0131666,1187,,253.6781463,1326,0.0447192,1547,0.0160384,1331,,291.975098,1461,0.0569329,1710,0.0222395,1462,,374.318106,1613,0.0661,1896,0.0242119,1617,
7,2.8836523,147,5.619E-4,171,3.346E-4,148,,11.5704805,292,0.0016404,339,9.518E-4,292,,28.9167282,451,0.0037931,521,0.0018945,453,,45.9897094,587,0.0071189,688,0.0034473,591,,74.6402742,727,0.0117124,843,0.0048,728,,113.9524796,869,0.01942,1016,0.0072567,876,,154.5526973,1043,0.0280713,1213,0.0102101,1044,,203.386572,1179,0.0356271,1364,0.0133591,1187,,269.5450792,1326,0.0477397,1547,0.0174358,1331,,299.4403241,1461,0.0547697,1710,0.0205484,1462,,416.5405255,1611,0.0667704,1896,0.0245645,1617,
8,3.008916,146,5.164E-4,171,2.704E-4,148,,11.835804,292,0.001697,339,9.314E-4,292,,26.0408811,452,0.0038184,521,0.0018436,453,,45.5747496,588,0.0071795,688,0.0039177,591,,70.560716,727,0.0125064,843,0.0050204,728,,122.3209019,872,0.0189084,1016,0.0074169,876,,144.542261,1043,0.0283563,1213,0.0106354,1044,,238.2683502,1180,0.0349207,1364,0.0124804,1187,,284.6755334,1328,0.0507785,1547,0.0166017,1331,,307.6248114,1461,0.0567793,1710,0.0206768,1462,,437.1696697,1612,0.0784219,1896,0.0269159,1617,
9,3.5030103,146,6.413E-4,171,3.519E-4,148,,12.6355824,292,0.001589,339,8.919E-4,292,,25.7775137,452,0.0037926,521,0.0019166,453,,50.1354206,587,0.0071842,688,0.0031949,591,,69.5274569,727,0.0124595,843,0.0048701,728,,114.7876828,870,0.0190028,1016,0.0071806,876,,141.4372294,1043,0.0279235,1213,0.0096502,1044,,256.8101687,1179,0.0343631,1364,0.013229,1187,,248.4392228,1326,0.0469244,1547,0.0167646,1331,,291.4292398,1461,0.0544445,1710,0.0201088,1462,,409.0224423,1612,0.0669068,1896,0.0256383,1617,
